Character,Chapter,Line
Biggs,Sector 1 - The No. 1 Reactor,Code deciphered
Biggs,Sector 1 - The No. 1 Reactor,That should keep the planet going... at least a little longer.
Wedge,Sector 1 - The No. 1 Reactor,Yeah.
Barret,Sector 1 - The No. 1 Reactor,.........
Jessie,Sector 1 - The No. 1 Reactor,OK! Now everyone get back.
Barret,Sector 1 - The No. 1 Reactor,"All right, now let's get out of here.Rendezvous at Sector 8 station! Split up and get on the train!"
Cloud,Sector 1 - The No. 1 Reactor,"H, hey!"
Barret,Sector 1 - The No. 1 Reactor,If it's about your money Save it 'til we're back at the hideout.
Flower Girl,Sector 1 - The No. 1 Reactor,Excuse me.What happened?
Cloud,Sector 1 - The No. 1 Reactor,"- You'd better get out of here- Nothing... hey, listen..."
Flower Girl,Sector 1 - The No. 1 Reactor,"Really? I don't know what's going on, but all right."
Flower Girl,Sector 1 - The No. 1 Reactor,"Oh, these? Do you like them? They're only a gil...?"
Cloud,Sector 1 - The No. 1 Reactor,- Buy one- Forget it
Flower Girl,Sector 1 - The No. 1 Reactor,"Oh, thank you!Here you are!"
Flower Girl,Sector 1 - The No. 1 Reactor,Ahh... not again.
Flower Girl,Sector 1 - The No. 1 Reactor,"What! Tell me!Uh, excuse me, would you like to buy some flowers? They're only one gil."
Cloud,Sector 1 - The No. 1 Reactor,- Buy one- Forget it
Flower Girl,Sector 1 - The No. 1 Reactor,"Oh, thank you!Here you are!"
Flower Girl,Sector 1 - The No. 1 Reactor,Ahh... not again.
Redhead,Sector 1 - The No. 1 Reactor,Just what the hell's going on!?
Man with Hat,Sector 1 - The No. 1 Reactor,Wonder what that is on the wall over there. Let's see...Don't be fooled by Shinra! Mako energy doesn't last forever! Mako is the planet's lifesource! The end is in sight!Protectors of the planet: AVALANCHE
Soldier,Sector 1 - The No. 1 Reactor,Hey! You there!!
Cloud,Sector 1 - The No. 1 Reactor,Shinra soldiers...- Fight them- Later!
Soldiers,Sector 1 - The No. 1 Reactor,What the?
Cloud,Sector 1 - The No. 1 Reactor,hmph!
Soldiers,Sector 1 - The No. 1 Reactor,Halt!!
Cloud,Sector 1 - The No. 1 Reactor,Shinra soldiers...- Fight them
Soldiers,Sector 1 - The No. 1 Reactor,That's him!
Cloud,Sector 1 - The No. 1 Reactor,hmph!
Cloud,Sector 1 - The No. 1 Reactor,Shinra soldiers...- Fight them
Soldiers,Sector 1 - The No. 1 Reactor,Over here!!
Cloud,Sector 1 - The No. 1 Reactor,hmph!
Soldier,Sector 1 - The No. 1 Reactor,That's as far as you go.
Cloud,Sector 1 - The No. 1 Reactor,I don't have time to be messin' around with you guys.
Soldier,Sector 1 - The No. 1 Reactor,Enough babbling...... Grab him!!
Wedge,Sector 1 - The No. 1 Reactor,Cloud never came.
Biggs,Sector 1 - The No. 1 Reactor,Cloud...... Wonder if he was killed?
Barret,Sector 1 - The No. 1 Reactor,No way!!
Jessie,Sector 1 - The No. 1 Reactor,Cloud......
Biggs,Sector 1 - The No. 1 Reactor,"Say, do you think Cloud's......Going to fight to the end for AVALANCHE!?"
Barret,Sector 1 - The No. 1 Reactor,The hell would I know!? Do I look like a mind reader?
Wedge,Sector 1 - The No. 1 Reactor,"Hey, Barret! What about our money...?"
(unclear),Sector 1 - The No. 1 Reactor,"Uh, nothin' ...sorry."
(from outside),Sector 1 - The No. 1 Reactor,Ahhh......
Biggs,Sector 1 - The No. 1 Reactor,Cloud!!
Jessie,Sector 1 - The No. 1 Reactor,Cloud......
Wedge,Sector 1 - The No. 1 Reactor,Cloud!!
Cloud,Sector 1 - The No. 1 Reactor,Looks like I'm a little late.
Barret,Sector 1 - The No. 1 Reactor,"You damn right, you're late!!Come waltzin' in here makin' a big scene!"
Cloud,Sector 1 - The No. 1 Reactor,It's no big deal. Just what I always do.
Barret,Sector 1 - The No. 1 Reactor,Shi't!Havin' everyone worried like that you don't give a damn 'bout no one but yourself!
Cloud,Sector 1 - The No. 1 Reactor,Hmm...... You were worried about me!
Barret,Sector 1 - The No. 1 Reactor,"Wha!?I'm takin' it outta your money, hot stuff!Wake up!We're movin' out! Follow me!"
Wedge,Sector 1 - The No. 1 Reactor,"Hey, Cloud!! You were great back there!"
Biggs,Sector 1 - The No. 1 Reactor,Heh heh...... Cloud! We'll do even better next time.
Jessie,Sector 1 - The No. 1 Reactor,"Be careful, I'll shut this."
Shinra Manager,Sector 1 - The No. 1 Reactor,This is why I hate the last train. Hoo-boy...
Train Bum,Sector 1 - The No. 1 Reactor,"Huh...? This is my house, so make yourselves at home."
Bald Man,Sector 1 - The No. 1 Reactor,You see the headlines in the Shinra Times?The terrorists that bombed the No. 1 Reactor are based somewhere in the slums....blowing up a Reactor... they sure put some thought into this one.They must have a real calculating leader. I wonder what they'll do next?
Barret,Sector 1 - The No. 1 Reactor,Stop actin' like a damn kid. Si'down an' shu'up!
Biggs,Sector 1 - The No. 1 Reactor,It seems this train hasn't switched to security mode yet.I'm sure that will change by tomorrow....YAWN... that sure took its toll on me. I'm gonna sleep till we get to the station.
Train Worker,Sector 1 - The No. 1 Reactor,Please!! You're bothering the other passengers.
Wedge,Sector 1 - The No. 1 Reactor,"Someday AVALANCHE's gonna be famous... and me, too!Cloud!!Don't ya think I got a bright future ahead of me?"
Cloud,Sector 1 - The No. 1 Reactor,- What do you have in mind?- I wouldn't hold my breath
Wedge,Sector 1 - The No. 1 Reactor,"All my life, I felt like nothin' but a sidekick.But after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things."
Wedge,Sector 1 - The No. 1 Reactor,"Oh man, that's pretty harsh, Cloud. You really think I won't?"
Jessie,Sector 1 - The No. 1 Reactor,"Hey, Cloud. You want to look at this with me?It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.I like this kinda stuff. Bombs and monitors... you know, flashy stuff.Okay, it's about to start.This is a complete model of the city of Midgar.It's about a 1/10000 scale.The top plate is about 50 meters above ground.A main support structure holds the plate up in the center, and there are other support structures built in each section...psst... whisper... whisper (The No. 1 Reactor we blew up was in the northern section.)Then there's No. 2, No. 3 all the way up to the No. 8 Reactor.The 8 Reactors provide Midgar with electricity.Each town used to have a name, but no one in Midgar remembers them.Instead of names, we refer to them by numbered sectors. That's the kind of place this is.Phew..., this is next! Look.This is the route this train is on.The route spirals around the main support structure.We should be coming around the center area, right now.At each checkpoint, an ID sensor device is set up.It can check the identities and backgrounds on each and every passenger on the train by linking it up to the central data bank at Shinra headquarters.whisper... whisper... (Anyone could tell that we look suspicious, so we're using fake ID's.)"
Jessie,Sector 1 - The No. 1 Reactor,"Speak of the devil...That light means that we're in the ID Security Check area....whisper... whisper... (When the lights go off, you never know what kind of creeps'll come out.)...anyhow, we're almost back now. That's a relief."
Wedge,Sector 1 - The No. 1 Reactor,I'm seein' stars. This sucks. I hate the dark.
Jessie,Sector 1 - The No. 1 Reactor,"I know! Next time, I'll give you one I made myself."
Cloud,Sector 1 - The No. 1 Reactor,- Thanks anyway- Looking forward to it
Jessie,Sector 1 - The No. 1 Reactor,"Oh yeah, you might regret it. I'm the type who takes things personal."
Jessie,Sector 1 - The No. 1 Reactor,"Okay, then I'll put a little extra effort in and make it with a BANG."
Jessie,Sector 1 - The No. 1 Reactor,"We're almost there. After talking with you, I really want to do it!I think you've lit my fuse!"
Biggs,Sector 1 - The No. 1 Reactor,"...snore... heebeebeeheebee... snore... (Don't act so damn big, Barret... snooze...)"
Barret,Sector 1 - The No. 1 Reactor,Look... you can see the surface now. This city don't have no day or night.If that plate weren't there... we could see the sky.
Cloud,Sector 1 - The No. 1 Reactor,A floating city... Pretty unsettling scenery.
Barret,Sector 1 - The No. 1 Reactor,"Huh?Never expect ta hear that outta someone like you....you jes' full of surprises.The upper world... a city on a plate...It's 'cuz of that &^#$# 'pizza', that people underneath are sufferin'!And the city below is full of polluted air.On topa that, the Reactor keeps drainin' up all the energy."
Cloud,Sector 1 - The No. 1 Reactor,Then why doesn't everyone move onto the Plate?
Barret,Sector 1 - The No. 1 Reactor,"Dunno. Probably 'cuz they ain't got no money. Or, maybe...'Cuz they love their land, no matter how polluted it gets."
Cloud,Sector 1 - The No. 1 Reactor,I know... no one lives in the slums because they want to.It's like this train. It can't run anywhere except where its rails take it.
Barret,Sector 7 - Seventh Heaven,"Yo!! Get over here, all'ya!!"
Barret,Sector 7 - Seventh Heaven,"Yo, Cloud! You lissen up!"
Barret,Sector 7 - Seventh Heaven,This mission was a success. But don't get lazy now.The hard part's still to come! Don't y'all be scared of that explosion!Cause the next one's gonna be bigger than that!Meet back at the hideout!! Move out!
Station Man,Sector 7 - Seventh Heaven,"When you've been a train man as long as I have, you see a lot of people and a lot of lives.People meeting, parting, joy, sadness... After a while, it doesn't even get to you anymore.I wonder how long it's been... There's an invisible rail between me and the passengers.I could never live their lives. I'm just a train man plain and simple. It's easier that way.That's not to say that the crossing gate of my heart doesn't hurt now and again.Back during the war, I remember there was a lot of painful scenes then.But, that's a story for another day...First train leaves Midgar at 05:04am."
Guy,Sector 7 - Seventh Heaven,I'm not letting you go tonight.
Girl,Sector 7 - Seventh Heaven,Wow!
Guy,Sector 7 - Seventh Heaven,Isn't there somewhere we could go to be alone?
Girl,Sector 7 - Seventh Heaven,Wow!There's only the train graveyard around here. And they say there's ghosts around too!
Guy,Sector 7 - Seventh Heaven,......damn.
Girl,Sector 7 - Seventh Heaven,What?
Man by Fence,Sector 7 - Seventh Heaven,"Hey now!! Oops!!What on earth are you doing? Just butt out......geez!Huh? You came to see it, too?There was a bombing on top. If this pillar should come down, everyone in the slums is dust...Well, there's no point in worryin' about that.Hey!! Look! It's huge, ain't it?"
Man by Fence,Sector 7 - Seventh Heaven,"Hey... This is a strange and wonderful place.This is my place, but you can come here when you want. Bye, bro!"
Barret,Sector 7 - Seventh Heaven,"Yo, Cloud! Over here, now!"
Soldier 1,Sector 7 - Seventh Heaven,What the hell do you want? You know who I am?You can't pass. I got the miserable job of keepin' scum like you from trying to sneak in here.
Soldier 2,Sector 7 - Seventh Heaven,"W, wow! You're great!!"
Soldier 1,Sector 7 - Seventh Heaven,"Damn right!! Don't waste time talkin's, what I always say!"
Soldier 2,Sector 7 - Seventh Heaven,"But, uh, I......Ah... eh... uhm............ Excuse me. You cannot pass without the proper clearance.Did I do good this time?"
Soldier 1,Sector 7 - Seventh Heaven,You gotta be tougher!
Soldier 2,Sector 7 - Seventh Heaven,"But, uh, I......"
Barret,Sector 7 - Seventh Heaven,Heh heh...You wanna meet your little baby?
Cloud,Sector 7 - Seventh Heaven,- Little baby?- Out of my way!
Barret,Sector 7 - Seventh Heaven,Hey! Don' act like you don't know what I mean!I'm tellin' you...
Barret,Sector 7 - Seventh Heaven,Heh! Jes calm down.Can't have people suspectin' us.
Gossip,Sector 7 - Seventh Heaven,Did you hear?
Cloud,Sector 7 - Seventh Heaven,"- Don't care- No, what?"
Gossip,Sector 7 - Seventh Heaven,"Oh, well excuse ME!"
Gossip,Sector 7 - Seventh Heaven,"There's a news update. They say that there was a terrorist explosion up above, and that this time it was a Mako Reactor!!You know what this means?"
Cloud,Sector 7 - Seventh Heaven,"- Don't care- No, what?"
Gossip,Sector 7 - Seventh Heaven,"Oh, well excuse ME!"
Gossip,Sector 7 - Seventh Heaven,"Ya see, I keep on top of these things, an' if ya ask me......If you knock out Midgar's power, then all of its computers and signals are going to be knocked out too.Financially there must've been about a billion gil worth of damage.An' that ain't all!! A lotta innocent people got killed too!If the explosion had been in the middle of the night, that woulda been one thing. At least the people coulda gone in their sleep.This Mako explosion has really sent Midgar into a fit."
Kid,Sector 7 - Seventh Heaven,Explosions! Explosions! Oh Man! AVALANCHE is so cool!
Johnny's Cousin,Sector 7 - Seventh Heaven,"Oh Jesus!! What the hell's wrong tonight!!I thought that long blackout was strange.They say a Mako Reactor was destroyed above.I was jes sittin' here drinkin', watchin' the news by myself.'n' all of a sudden I get kicked outta the &*%$ store. What's up with that!?I wasn't even done with my drink. I didn't even pay my bill..."
Johnny,Sector 7 - Seventh Heaven,"Woo...... ah geez, I'm blitzed. I jes love them homemade cocktails. But they sure do creep up on ya."
A sign to the far left,Sector 7 - Seventh Heaven,Don't be taken in by the Shinra.Mako energy will not last forever.Mako is the life of the Planet and that life is finite.The end is coming.Saviors of the Planet: AVALANCHE
Cloud,Sector 7 - Seventh Heaven,What crappy handwriting. And look at all this graffiti!
Item Shopkeeper,Sector 7 - Seventh Heaven,(from inside)We're closed today. Come back tomorrow.
Black-haired Man,Sector 7 - Seventh Heaven,"Hey!! What the, YOU?Anyone talking to me must be a novice."
Cloud,Sector 7 - Seventh Heaven,"- Yep, that's me- I used to be with SOLDIER, the name's"
Black-haired Man,Sector 7 - Seventh Heaven,"Don't act so big, amateur. Seein' as how I'm such a warm hearted guy, I'll show ya the ropes.You come back here tomorrow. I got some things I gots ta do."
Black-haired Man,Sector 7 - Seventh Heaven,"Hmmph!! Well, I never heard of ya!"
Big Man,Sector 7 - Seventh Heaven,"Unn......!! Who the hell are you!? No unauthorized access.Since today's special, I'm gonna let you in on a juicy bit of news. But you gotta keep it to yourself.Do you know what's been going on......?"
Cloud,Sector 7 - Seventh Heaven,"- What, that again?- ............"
Big Man,Sector 7 - Seventh Heaven,"I guess you must be sick of hearing it... But it's been so long since there was any real news here.You're worried where it's all heading, right?"
Big Man,Sector 7 - Seventh Heaven,"Everything's in a buzz 'bout that terrorist group AVALANCHE blowin' up the Sector 1 Mako Reactor.On the surface they say they're an anti-Shinra group, but in reality...They say they're just out to kill as many people as they can.Gyaaaa, Haaa haaa!!That's a good one, ain't it!? While they're bustin' things up on top, the only ones makin' out good are us weapon stores!Now, if we can just get rid of this back stock, we'll be doin' ok."
Man in Hat,Sector 7 - Seventh Heaven,"You know what I do? I'll bet you don't.You come here tomorrow and I'll tell you.Ahh, there just ain't no good jobs here in the slums.I wanna go to the upper world."
Barret,Sector 7 - Seventh Heaven,Ok! Go on ahead.You! Cloud!! Get off your slow-movin' ass!!
Marlene,Sector 7 - Seventh Heaven,Papa!!
Tifa,Sector 7 - Seventh Heaven,Marlene! Aren't you going to say anything to Cloud?
Cloud,Sector 7 - Seventh Heaven,- Yeah- Not this time
Tifa,Sector 7 - Seventh Heaven,"I should have known.He's always pushing people around, and you've always been in fights ever since you were little.I was worried."
Tifa,Sector 7 - Seventh Heaven,Hmm. You've grown up.When you were little you used to get into fights at the drop of a hat.
Tifa,Sector 7 - Seventh Heaven,"Flowers? How nice...You almost never see them here in the slums.But...A flower for me? Oh Cloud, you shouldn't have..."
Cloud,Sector 7 - Seventh Heaven,No big.- Give it to Tifa- Give it to Marlene
Tifa,Sector 7 - Seventh Heaven,"Thank you, Cloud. It smells wonderful.Maybe I should fill the store with flowers."
Tifa,Sector 7 - Seventh Heaven,I'm so glad everyone's safe.
Tifa,Sector 7 - Seventh Heaven,"Sorry, Cloud. Marlene seems a little shy."
Marlene,Sector 7 - Seventh Heaven,............
Biggs,Sector 7 - Seventh Heaven,Aaah!! Nothin' like that first drink after a job.Hic!!Why don't you have one too?
Cloud,Sector 7 - Seventh Heaven,"- No- Yeah, why not?"
Biggs,Sector 7 - Seventh Heaven,What!? You tellin' me you're too good to drink with me?Don't act big-headed jus' because you were in SOLDIER!
Biggs,Sector 7 - Seventh Heaven,"Oh!! That's more like it!!Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!"
Biggs,Sector 7 - Seventh Heaven,Hic...!!Oh...... Don't tell Barret what I just said.
Wedge,Sector 7 - Seventh Heaven,"Oh, Cloud!Tifa really knows how to cook. Mmm, mmm......Anyway, let me tell you somethin'"
Cloud,Sector 7 - Seventh Heaven,- About what?- I'm not interested in your stories
Wedge,Sector 7 - Seventh Heaven,"Tifa always lets me taste her cooking.And look at me now, I'm rolly-polly.Don't know whether I should be happy or sad. But it's the good food and drinks that make this shop famous."
Wedge,Sector 7 - Seventh Heaven,Cloud...... ......forget it.
Jessie,Sector 7 - Seventh Heaven,Careless...... You're getting all excited.Wonder what for......?
Marlene,Sector 7 - Seventh Heaven,"Papa, welcome home!"
Barret,Sector 7 - Seventh Heaven,Huh? Where'd you get that flower?
Marlene,Sector 7 - Seventh Heaven,Cloud gave it to me.
Barret,Sector 7 - Seventh Heaven,Oh......Did you thank him?
Marlene,Sector 7 - Seventh Heaven,"............Thank you, Cloud.We'll take care of you."
Tifa,Sector 7 - Seventh Heaven,"You all right, Barret?"
Barret,Sector 7 - Seventh Heaven,"Great!!Get in here, fools!! We're startin' the meetin'!!"
Guy,Sector 7 - Seventh Heaven,"Hey, come over here."
Girl,Sector 7 - Seventh Heaven,But people will...
Guy,Sector 7 - Seventh Heaven,Who cares?
Girl,Sector 7 - Seventh Heaven,But... There's a weirdo over there.
Guy,Sector 7 - Seventh Heaven,Huh?
Gossip,Sector 7 - Seventh Heaven,Did you hear?
Cloud,Sector 7 - Seventh Heaven,- 'Bout what?- Don't care
Gossip,Sector 7 - Seventh Heaven,"About that little girl named Tifa and that bar called '7th Heaven'.I'm not only informed, I'm kinda nosey too. Anyhow, I got the scoop.You wanna hear?"
Cloud,Sector 7 - Seventh Heaven,- You bet!- Don't care
Gossip,Sector 7 - Seventh Heaven,"That Barret and three of his henchmen are like this sometimes.Suddenly, they threw out a customer and start talking trash to him. It's strange, if you ask me. And that place always smells like gun powder.It's dangerous, I tell you. They must be doing terrible things in there."
Gossip,Sector 7 - Seventh Heaven,"Oh really? Well, aren't you a cool one!"
Gossip,Sector 7 - Seventh Heaven,"Oh really? Well, aren't you a cool one!"
Johnny's Cousin,Sector 7 - Seventh Heaven,"There's a TV in there, but my cheap aunt won't let me in the house. Look for yourself."
Johnny's Mom,Sector 7 - Seventh Heaven,(from inside her house)I'm not opening up. Go away!!
Johnny,Sector 7 - Seventh Heaven,Hey!! Open up! C'mon baby!!It's me! ! Mom!!
Johnny's Cousin,Sector 7 - Seventh Heaven,"Now that you mention it, there used to be an outside TV monitor here in the slums.But that Barret, busted it up.Shot it up with that weird machine gun hand of his. Blam, blam, blam.I think it was when President Shinra was on.He was on again this morning, too, you know.Tifa better watch out for her TV."
Kid,Sector 7 - Seventh Heaven,"All's quiet!! Shh, I'm spying now!OH!! There's something!! DANGER!! ALERT!!"
Tifa,Sector 7 - Seventh Heaven,Sit down.
Tifa,Sector 7 - Seventh Heaven,How about......something to drink?
Cloud,Sector 7 - Seventh Heaven,- I don't feel like it- Give me something hard
Tifa,Sector 7 - Seventh Heaven,"OHH!!I can make a drink just as good as anyone else.Everyone says, my drinks taste the best!"
Tifa,Sector 7 - Seventh Heaven,"Just a minute. I'll make one for you.You know, I'm relieved you made it back safely."
Cloud,Sector 7 - Seventh Heaven,What's with you all of a sudden? That wasn't even a tough job.
Tifa,Sector 7 - Seventh Heaven,I guess not...You were in SOLDIER.Make sure you get your pay from Barret.
Cloud,Sector 7 - Seventh Heaven,"Don't worry. Once I get that money, I'm outta here."
Tifa,Sector 7 - Seventh Heaven,Cloud. Are you feeling all right?
Cloud,Sector 7 - Seventh Heaven,...yeah... Why?
Tifa,Sector 7 - Seventh Heaven,No reason. You just look a little tired I guess.You'd better go down below.
Wedge,Sector 7 - Seventh Heaven,You think I'm a little too uptight?
Cloud,Sector 7 - Seventh Heaven,- Yeah...- No...
Wedge,Sector 7 - Seventh Heaven,"The next mission will be to blow up the Sector 5 Reactor.Cloud, you're great! Don't you ever get nervous?Or are you like, impervious to feelings? Naw, that couldn't be it."
Wedge,Sector 7 - Seventh Heaven,"Well, that's ok. Don't worry about me. I don't look like it, but I'm a coward at heart."
President Shinra,Sector 7 - Seventh Heaven,".........today the No. 1 Reactor was bombed. The terrorist group AVALANCHE has claimed responsibility for the bombing.It is expected that AVALANCHE will continue its reign of terror.But citizens of Midgar, there is no need to fear.I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night."
Jessie,Sector 7 - Seventh Heaven,"Oops...Hey, look at the news... What a blast.Think it was all because of my bomb? But all I really did was just make it like the computer told me.Oh no! I must've made a miscalculation somewhere.Hey, that was my bomb's debut. Makes me kinda proud."
Barret,Sector 7 - Seventh Heaven,"Yo, Cloud! There's somethin' I wanna ask ya.Was there anyone from SOLDIER fighting us today?"
Cloud,Sector 7 - Seventh Heaven,None. I'm positive.
Barret,Sector 7 - Seventh Heaven,You sound pretty sure.
Cloud,Sector 7 - Seventh Heaven,If there was anyone from SOLDIER you wouldn't be standing here now.
Barret,Sector 7 - Seventh Heaven,Don't you go thinkin' you so bad jes cuz you was in SOLDIER.
Cloud,Sector 7 - Seventh Heaven,............
Barret,Sector 7 - Seventh Heaven,"Yeah, you're strong.Probably all them guys in SOLDIER are.But don't forget that your skinny ass's workin' for AVALANCHE now!Don't get no ideas 'bout hangin' on to Shinra."
Cloud,Sector 7 - Seventh Heaven,Stayin' with Shinra?You asked me a question and I answered it... that's all.I'm going upstairs. I want to talk about my money.
Barret,Sector 7 - Seventh Heaven,Shucks!! ............money...
Marlene,Sector 7 - Seventh Heaven,"Papa, you're so great!"
Tifa,Sector 7 - Seventh Heaven,"Wait, Cloud!"
Barret,Sector 7 - Seventh Heaven,Tifa! Let him go!Looks like he still misses the Shinra!
Cloud,Sector 7 - Seventh Heaven,Shut up!I don't care about either Shinra or SOLDIER!But don't get me wrong!I don't care about AVALANCHE or the Planet for that matter!
Tifa,Sector 7 - Seventh Heaven,Straighten things up with everyone for me.
Jessie,Sector 7 - Seventh Heaven,"Money...Oh my. It must have been for a lot of it.Sure! Well, what the hell? It's a verbal agreement. Now let me figure this out.Oh stop it, Cloud! Did you hear me?"
Wedge,Sector 7 - Seventh Heaven,"......Cloud.You say you don't care, but you came to talk to me.Cloud... You just want friends.Isn't that right?"
Cloud,Sector 7 - Seventh Heaven,- Blow off- I really don't care
Wedge,Sector 7 - Seventh Heaven,"Yeah, well. You look kind of lonely to me.If you ever got anything you want to get off your chest, you can always talk to me."
Wedge,Sector 7 - Seventh Heaven,You're terrible. Real cold blooded.
Tifa,Sector 7 - Seventh Heaven,"Listen, Cloud. I'm asking you. Please join us."
Cloud,Sector 7 - Seventh Heaven,Sorry Tifa...
Tifa,Sector 7 - Seventh Heaven,The Planet is dying. Slowly but surely it's dying.Someone has to do something.
Cloud,Sector 7 - Seventh Heaven,So let Barret and his buddies do something about it.It's got nothin' to do with me.
Tifa,Sector 7 - Seventh Heaven,So! You're really leaving!?You're just going to walk right out ignoring your childhood friend!?
Cloud,Sector 7 - Seventh Heaven,What......?- How can you say that!- ......Sorry
Tifa,Sector 7 - Seventh Heaven,"(she says the same thing regardless)......You forgot the promise, too."
Cloud,Sector 7 - Seventh Heaven,Promise?
Tifa,Sector 7 - Seventh Heaven,So you DID forget.Remember...... Cloud. It was seven years ago...
Tifa,Sector 7 - Seventh Heaven,"Look, the well.Do you remember?"
Cloud,Sector 7 - Seventh Heaven,"Yeah... back then.I thought you would never come, and I was getting a little cold."
Tifa,Sector 7 - Seventh Heaven,Sorry I'm late.You said you wanted to talk to me about something?
Cloud,Sector 7 - Seventh Heaven,Come this spring... I'm leaving this town for Midgar.
Tifa,Sector 7 - Seventh Heaven,...All boys are leaving our town.
Cloud,Sector 7 - Seventh Heaven,"But I'm different from all of them. I'm not just going to find a job.I want to join SOLDIER.I'm going to be the best there is, just like Sephiroth!"
Tifa,Sector 7 - Seventh Heaven,Sephiroth... The Great Sephiroth.
Tifa,Sector 7 - Seventh Heaven,Isn't it hard to join SOLDIER?
Cloud,Sector 7 - Seventh Heaven,...I probably won't be able to come back to this town for a while.
Cloud,Sector 7 - Seventh Heaven,...huh?
Tifa,Sector 7 - Seventh Heaven,Will you be in the newspapers if you do well?
Cloud,Sector 7 - Seventh Heaven,I'll try.
Tifa,Sector 7 - Seventh Heaven,"Hey, why don't we make a promise?Umm, if you get really famous and I'm ever in a bind......You come save me, all right?"
Cloud,Sector 7 - Seventh Heaven,What?
Tifa,Sector 7 - Seventh Heaven,"Whenever I'm in trouble, my hero will come and rescue me.I want to at least experience that once."
Cloud,Sector 7 - Seventh Heaven,What?
Tifa,Sector 7 - Seventh Heaven,Come on--! Promise me----!
