Character,Game,Words,Lines,Sentences
Jullus,Final Fantasy 14,1892,128,200
Sramul,Final Fantasy 14,1881,145,212
Ywain,Final Fantasy 14,1880,78,168
Amalj'aa,Final Fantasy 14,1875,129,188
Halric,Final Fantasy 14,1872,108,159
Sylph Emissary,Final Fantasy 14,1866,125,199
Giant Colibri,Final Fantasy 14,1861,151,204
Hermes,Final Fantasy 14,1855,144,230
Coeurlclaw Healer,Final Fantasy 14,1855,109,207
Memeja,Final Fantasy 14,1854,100,179
Julia quo Soranus,Final Fantasy 14,1848,105,185
Zenos yae Galvus,Final Fantasy 14,1841,99,186
Blessed Woman,Final Fantasy 14,1841,111,180
Cheery Captain,Final Fantasy 14,1838,127,184
Red-haired Daybreaker,Final Fantasy 14,1838,126,213
Mergen,Final Fantasy 14,1836,93,182
Grateful Moblin,Final Fantasy 14,1834,109,183
Tansui the Foxed,Final Fantasy 14,1814,119,223
Resistance Healer,Final Fantasy 14,1811,101,198
Kienkan Guardsman,Final Fantasy 14,1804,84,174
Clarilaine,Final Fantasy 14,1798,101,132
Villager of the Everlasting Dark,Final Fantasy 14,1784,110,188
Namai Maiden,Final Fantasy 14,1782,89,159
Ojika Tsunjika,Final Fantasy 14,1782,82,131
Bakool Ja Ja,Final Fantasy 14,1782,139,197
Punutiy,Final Fantasy 14,1780,120,184
Rostra Steward,Final Fantasy 14,1776,93,131
Ironworks Engineer,Final Fantasy 14,1775,79,134
Shepetto,Final Fantasy 14,1769,110,179
Frightened Merchant,Final Fantasy 14,1748,121,201
Lakshmi,Final Fantasy 14,1741,97,194
Troubled Observer,Final Fantasy 14,1733,119,196
The Mongrel,Final Fantasy 14,1723,98,192
Biggs III,Final Fantasy 14,1718,96,166
Nimbus,Final Fantasy 14,1717,110,177
Museum Curator,Final Fantasy 14,1701,126,183
Queen Eternal,Final Fantasy 14,1701,145,206
Asahi's Mother,Final Fantasy 14,1695,74,159
Ameliance and Tataru,Final Fantasy 14,1694,95,150
Solemn Blessed,Final Fantasy 14,1687,110,173
Clemence,Final Fantasy 14,1682,88,167
Visitant Satana,Final Fantasy 14,1681,139,185
Approving Woman,Final Fantasy 14,1677,116,171
Taynor,Final Fantasy 14,1663,97,151
Darlfort,Final Fantasy 14,1658,68,141
Swarthy Resistance Fighter,Final Fantasy 14,1652,100,179
Durante,Final Fantasy 14,1652,83,129
Accommodating Official,Final Fantasy 14,1646,105,157
Kapikulu,Final Fantasy 14,1640,100,128
Brazier of Homecoming,Final Fantasy 14,1638,135,182
Rammbroes,Final Fantasy 14,1629,48,113
Tioman,Final Fantasy 14,1628,82,142
Paushs Ooan,Final Fantasy 14,1624,77,127
Mehvan,Final Fantasy 14,1622,114,173
Wrenden,Final Fantasy 14,1621,92,165
Leannan Sith,Final Fantasy 14,1617,108,175
Cubus,Final Fantasy 14,1609,107,175
Meriel,Final Fantasy 14,1599,80,118
Deloys,Final Fantasy 14,1583,94,156
Falkbryda,Final Fantasy 14,1577,88,158
The Word of the Mother,Final Fantasy 14,1568,86,143
Sultansworn Squire,Final Fantasy 14,1562,72,128
Leaders,Final Fantasy 14,1559,87,121
Kikina,Final Fantasy 14,1549,65,118
House Borel Steward,Final Fantasy 14,1548,77,114
Hanu Rumormonger,Final Fantasy 14,1546,102,162
Kokkol Dankkol,Final Fantasy 14,1536,87,133
Mehryde,Final Fantasy 14,1524,102,177
Elidibus,Final Fantasy 14,1508,91,163
Drunken Deepa,Final Fantasy 14,1508,97,161
Ravana,Final Fantasy 14,1497,94,159
Draggle-tailed Refugee,Final Fantasy 14,1494,69,135
Pierriquet,Final Fantasy 14,1493,59,101
Yunagi,Final Fantasy 14,1491,75,153
Dewlala,Final Fantasy 14,1482,64,120
Bone-weary Worker,Final Fantasy 14,1480,76,133
Black Marketeer,Final Fantasy 14,1479,80,124
Dispirited Hanu,Final Fantasy 14,1479,111,149
Fourchenault,Final Fantasy 14,1454,69,128
Lolorito,Final Fantasy 14,1447,74,112
Olvara,Final Fantasy 14,1447,69,117
Grenoldt,Final Fantasy 14,1446,80,122
Junior Ironworks Engineer,Final Fantasy 14,1443,78,123
Ishgardian Knight,Final Fantasy 14,1439,74,123
Storm Honor Guard,Final Fantasy 14,1433,80,142
Adventurers' Guild Emissary,Final Fantasy 14,1431,64,120
Voice of Midgardsormr,Final Fantasy 14,1430,63,107
Tobli,Final Fantasy 14,1430,98,151
Homei,Final Fantasy 14,1428,82,164
Mewazunte,Final Fantasy 14,1427,101,151
Mechanical Sentry,Final Fantasy 14,1415,112,170
Imperial Medicus,Final Fantasy 14,1414,77,145
Conversing Woman,Final Fantasy 14,1410,98,149
Disconcerted Coachman,Final Fantasy 14,1407,79,150
Galuf Baldesion,Final Fantasy 14,1404,93,138
Keiten,Final Fantasy 14,1398,61,109
Ala Mhigan Merchant,Final Fantasy 14,1397,80,125
Zephirin,Final Fantasy 14,1395,61,109
Grizzled Villager,Final Fantasy 14,1395,113,170
Moenbryda,Final Fantasy 14,1394,78,124
Havli,Final Fantasy 14,1391,77,139
Livia sas Junius,Final Fantasy 14,1389,64,118
Crystarium citizen,Final Fantasy 14,1381,79,136
Resistance Fighter,Final Fantasy 14,1371,95,181
Shadowhunter,Final Fantasy 14,1369,60,107
Reserved Mol Boy,Final Fantasy 14,1366,75,139
Krile,Final Fantasy 14,1353,65,119
Ala Mhigan,Final Fantasy 14,1343,74,141
Wuk Lamat,Final Fantasy 14,1342,92,141
Labyrinthos Legislator,Final Fantasy 14,1330,75,126
Defective Automaton,Final Fantasy 14,1328,99,149
Nostalgia,Final Fantasy 14,1326,83,114
Bunchin,Final Fantasy 14,1312,72,128
Unassuming Loporrit,Final Fantasy 14,1307,102,157
Mistrustful Merchant,Final Fantasy 14,1305,71,123
Baron Knight-captain,Final Fantasy 14,1303,118,159
Child,Final Fantasy 14,1293,75,116
Timaios,Final Fantasy 14,1293,59,92
Keeper of the Entwined Serpents,Final Fantasy 14,1291,56,118
Gold Bull Leader,Final Fantasy 14,1291,57,124
Ironworks Hand,Final Fantasy 14,1290,93,162
Vauthry,Final Fantasy 14,1287,70,121
Ryunosuke,Final Fantasy 14,1282,71,117
Flame Gladiator,Final Fantasy 14,1281,84,140
Lyonell,Final Fantasy 14,1277,50,113
Philcox,Final Fantasy 14,1276,55,138
Confused Conjurer,Final Fantasy 14,1275,81,127
Rhesh Polaali,Final Fantasy 14,1275,61,108
Stupefied Senior,Final Fantasy 14,1266,61,119
Trembling Man,Final Fantasy 14,1264,107,152
Hypertuned Grynewaht,Final Fantasy 14,1263,88,163
Ganister,Final Fantasy 14,1263,98,164
Galvanth the Dominator,Final Fantasy 14,1252,54,112
Mappingway,Final Fantasy 14,1251,71,115
Andromalius,Final Fantasy 14,1245,105,153
Voice of the Everlasting Dark,Final Fantasy 14,1244,67,118
Kunu Vali,Final Fantasy 14,1242,61,102
Industrious Pirate,Final Fantasy 14,1237,70,136
Flower Girl,Final Fantasy 14,1234,58,117
2nd Order Rocksplitter,Final Fantasy 14,1226,74,151
Proud Confederate,Final Fantasy 14,1215,62,119
Marcechamp,Final Fantasy 14,1213,53,111
Serpent Gladiator,Final Fantasy 14,1210,66,115
Experienced Adventurer,Final Fantasy 14,1210,38,115
Bewildered Citizen,Final Fantasy 14,1209,73,121
5th Cohort Secutor,Final Fantasy 14,1206,56,113
Geva,Final Fantasy 14,1199,61,120
Hastelot,Final Fantasy 14,1196,54,113
Crystarium Resident,Final Fantasy 14,1195,70,99
Chatty Shetona,Final Fantasy 14,1193,82,112
Storm Herald,Final Fantasy 14,1191,45,115
Troubled Hhetsarro,Final Fantasy 14,1189,56,103
Jalheen,Final Fantasy 14,1186,70,125
Quintus,Final Fantasy 14,1185,66,120
Peshiwa,Final Fantasy 14,1185,71,103
Gilly,Final Fantasy 14,1184,75,125
Tailfeather Hunter,Final Fantasy 14,1181,42,101
Glassy-eyed Resident,Final Fantasy 14,1179,101,159
Thubyrgeim,Final Fantasy 14,1175,59,103
Temulun,Final Fantasy 14,1175,68,128
Wedge,Final Fantasy 14,1173,61,105
Fervent Ancient,Final Fantasy 14,1173,73,109
Nourval of the Branching Path,Final Fantasy 14,1169,63,124
Leviathan,Final Fantasy 14,1168,50,96
Hospitalier Captain Abel,Final Fantasy 14,1159,48,80
Blastingway,Final Fantasy 14,1158,66,105
Ernold,Final Fantasy 14,1151,42,77
Rhetkympf,Final Fantasy 14,1139,74,102
Alliance Herald,Final Fantasy 14,1138,57,110
Hedyn,Final Fantasy 14,1137,67,106
Shady Hoobigo,Final Fantasy 14,1135,78,117
Udutai,Final Fantasy 14,1129,62,115
Philomon,Final Fantasy 14,1126,78,130
Canal Town Guard,Final Fantasy 14,1126,66,107
Son of Saint Coinach,Final Fantasy 14,1124,57,118
Renda-Rae's Shade,Final Fantasy 14,1123,44,89
Hasthwab,Final Fantasy 14,1119,43,83
Minfilia,Final Fantasy 14,1113,65,97
Jessie,Final Fantasy 14,1111,52,95
Timorous Temple Knight,Final Fantasy 14,1107,50,99
Linuhanu,Final Fantasy 14,1106,53,101
Bystander,Final Fantasy 14,1104,43,93
Lahabrea,Final Fantasy 14,1102,56,94
Nathelain,Final Fantasy 14,1100,64,112
Lyna,Final Fantasy 14,1100,53,89
Forward Fille,Final Fantasy 14,1097,61,118
Yellow Moon,Final Fantasy 14,1097,46,88
Bereaved Dragon,Final Fantasy 14,1087,67,106
Frontier Hand,Final Fantasy 14,1084,43,62
Tuliyollan Youth,Final Fantasy 14,1082,74,119
Terminal-gazing Endless,Final Fantasy 14,1082,70,110
F'lhaminn,Final Fantasy 14,1080,60,109
Cylva,Final Fantasy 14,1077,67,114
Bhazahma,Final Fantasy 14,1075,67,109
Allagan Noble,Final Fantasy 14,1071,73,102
Hyuran Weaver,Final Fantasy 14,1071,64,108
Mascot-loving Maiden,Final Fantasy 14,1071,41,74
Venat,Final Fantasy 14,1069,55,90
5th Cohort Eques,Final Fantasy 14,1068,55,121
Hakuro Whitefang,Final Fantasy 14,1065,90,144
Pukni Pakk,Final Fantasy 14,1062,44,83
Yugiri,Final Fantasy 14,1058,44,105
Fordola,Final Fantasy 14,1053,50,104
Miplu,Final Fantasy 14,1053,61,109
Luciane,Final Fantasy 14,1052,43,80
Aether Seeker,Final Fantasy 14,1044,90,140
Drest,Final Fantasy 14,1035,50,115
Liberation Front Samurai,Final Fantasy 14,1033,64,111
Ironworks Pilot,Final Fantasy 14,1022,74,90
Hida,Final Fantasy 14,1020,52,103
Despondent Refugee,Final Fantasy 14,1020,46,89
Hunmu Rruk,Final Fantasy 14,1014,76,102
Isari Youth,Final Fantasy 14,1013,52,106
Fyrgeiss,Final Fantasy 14,1009,55,96
Kipehwi,Final Fantasy 14,1009,70,116
Svarbhanu,Final Fantasy 14,1008,63,103
Rakorok,Final Fantasy 14,1007,61,98
Adventurers' Guild Investigator,Final Fantasy 14,1004,30,63
Grand Company Officers,Final Fantasy 14,1001,40,74
Anxious Alexandrian,Final Fantasy 14,1000,66,99
Astin,Final Fantasy 14,999,33,78
Hired Hand,Final Fantasy 14,995,41,91
Sadu Heavensflame,Final Fantasy 14,991,64,119
Exuberant Alchemist,Final Fantasy 14,991,62,94
Archive Node,Final Fantasy 14,989,65,104
High Crucible Alchemist,Final Fantasy 14,988,51,84
Vishryde,Final Fantasy 14,987,44,86
Bloewyda,Final Fantasy 14,985,53,96
Coph-coodg,Final Fantasy 14,983,52,81
Tonawawtan Bandit,Final Fantasy 14,983,68,103
Demure Damsel,Final Fantasy 14,981,44,77
G'raha Tia,Final Fantasy 14,977,40,97
Owen,Final Fantasy 14,971,44,76
Al End,Final Fantasy 14,970,70,102
Sphene Actress,Final Fantasy 14,968,74,104
Carvallain,Final Fantasy 14,966,35,89
Stoic Chronicler,Final Fantasy 14,963,49,75
Fufulupa the Unbending,Final Fantasy 14,962,59,92
Spectral Berserker,Final Fantasy 14,958,77,109
Dying Guard,Final Fantasy 14,957,55,107
Ser Charibert the Stern,Final Fantasy 14,956,54,101
Ice Cream Vendor,Final Fantasy 14,954,73,109
Resistance Captain,Final Fantasy 14,951,67,109
Theva,Final Fantasy 14,951,49,85
King Behemoth,Final Fantasy 14,949,37,71
Unknown,Final Fantasy 14,943,48,84
Hythlodaeus,Final Fantasy 14,943,59,89
Kuplu Kopo,Final Fantasy 14,942,49,86
Maelstrom Soldier,Final Fantasy 14,936,73,116
Chief Honu Vanu,Final Fantasy 14,936,47,94
Korutt,Final Fantasy 14,936,80,129
Nero,Final Fantasy 14,935,45,81
Terminus Shadower,Final Fantasy 14,934,67,104
Meryall Botanist,Final Fantasy 14,928,73,112
Shale,Final Fantasy 14,927,56,90
Restless Resident,Final Fantasy 14,924,78,134
Manager of Suites,Final Fantasy 14,923,55,83
Ascian of the Twelfth Sword,Final Fantasy 14,922,55,85
Administrative Node,Final Fantasy 14,919,43,94
Lente's Arrow,Final Fantasy 14,916,74,96
Crystarium Gatekeep,Final Fantasy 14,915,43,62
Strident Sailor,Final Fantasy 14,909,64,103
Adventurers' Guild Assistant,Final Fantasy 14,906,37,69
Cerberus,Final Fantasy 14,905,57,106
Mord Souq Guard,Final Fantasy 14,896,51,82
Disappointed Woman,Final Fantasy 14,896,63,97
Delighted Fuath,Final Fantasy 14,895,50,95
Ocher Boulder,Final Fantasy 14,894,50,80
Aurildis,Final Fantasy 14,891,46,91
Zhloe Aliapoh,Final Fantasy 14,891,32,63
Inconspicuous Man,Final Fantasy 14,890,44,71
Susano,Final Fantasy 14,889,55,101
Resolution Clerk,Final Fantasy 14,889,70,106
U'odh Nunh,Final Fantasy 14,886,38,79
Isobe,Final Fantasy 14,882,44,83
Spell-weaving Heretic,Final Fantasy 14,881,47,82
Tataramu,Final Fantasy 14,881,38,68
Milos,Final Fantasy 14,880,55,81
Pepoane,Final Fantasy 14,879,58,86
Zeynuha,Final Fantasy 14,877,44,80
Deserter Voidsent,Final Fantasy 14,877,61,95
Radio,Final Fantasy 14,876,56,99
Diligent Manservant,Final Fantasy 14,867,35,71
Tristol,Final Fantasy 14,866,46,81
House Haillenarte Knight,Final Fantasy 14,865,36,87
Roguish Boy,Final Fantasy 14,865,57,94
Zeymeira,Final Fantasy 14,864,40,78
Mogta,Final Fantasy 14,859,45,92
Altima,Final Fantasy 14,858,34,60
Lowborn Youth,Final Fantasy 14,858,40,78
"Riqi-Tio, Arkil, and Eirwel",Final Fantasy 14,858,52,84
Flying Life-forms,Final Fantasy 14,858,58,78
Spirited Engineer,Final Fantasy 14,858,57,88
Ameliance,Final Fantasy 14,857,46,84
Kraken's Arms Deckhand,Final Fantasy 14,855,72,104
Dirigible Attendant,Final Fantasy 14,855,62,96
Vidofnir,Final Fantasy 14,854,40,80
Yellowjacket,Final Fantasy 14,847,25,60
Capitol Attendant,Final Fantasy 14,844,54,84
Zander the Snakeskinner,Final Fantasy 14,842,90,117
Magitek Technician,Final Fantasy 14,841,57,113
Anima,Final Fantasy 14,836,69,101
Kytte,Final Fantasy 14,835,56,83
Doppro Illusionist,Final Fantasy 14,830,51,75
Matoya,Final Fantasy 14,828,35,82
Ghon Gon,Final Fantasy 14,828,44,76
Doman Miner,Final Fantasy 14,827,46,86
Jifuya,Final Fantasy 14,825,49,97
Jehantel the Godsbow,Final Fantasy 14,825,36,73
Wheiskaet,Final Fantasy 14,824,37,67
Jeryk,Final Fantasy 14,823,42,77
Liberation Front Infantry,Final Fantasy 14,822,37,78
Grizzled Mouse,Final Fantasy 14,822,52,70
Ambrose the Undeparted,Final Fantasy 14,821,89,120
Gondolier,Final Fantasy 14,821,52,86
House Fortemps Steward,Final Fantasy 14,818,32,61
Uncombed Urchin,Final Fantasy 14,817,31,80
Tonawawtan Youth,Final Fantasy 14,817,95,120
Jovial Pixie,Final Fantasy 14,815,41,74
Paultisanne,Final Fantasy 14,815,35,70
Austere Adventurer,Final Fantasy 14,807,49,86
Suspicious Coerthan,Final Fantasy 14,806,34,77
Magitek Vanguard I Prototype,Final Fantasy 14,806,40,79
Hien,Final Fantasy 14,805,41,74
Tenny,Final Fantasy 14,804,50,95
Cheery Pelu,Final Fantasy 14,803,58,95
Koana,Final Fantasy 14,802,52,73
Hancock,Final Fantasy 14,798,35,68
Surviving Squire,Final Fantasy 14,797,39,66
Temple Knight Herald,Final Fantasy 14,795,33,57
Panicked Fisherman,Final Fantasy 14,794,57,85
House Fortemps Manservant,Final Fantasy 14,793,45,64
Merry Merchant,Final Fantasy 14,791,58,84
Endless Euclase,Final Fantasy 14,788,40,68
Gibrillont,Final Fantasy 14,787,33,57
Korutt and Glagg,Final Fantasy 14,785,42,77
Ivaurault,Final Fantasy 14,784,27,67
Cyella,Final Fantasy 14,784,36,69
Junkmonger,Final Fantasy 14,783,49,76
The Voice of Emet-Selch,Final Fantasy 14,780,81,93
Windspath Gardens Guard,Final Fantasy 14,778,57,83
Raging Resident,Final Fantasy 14,776,41,79
Titania,Final Fantasy 14,775,41,75
M-097,Final Fantasy 14,773,52,72
Rowena,Final Fantasy 14,772,35,74
Roegadyn Soldier,Final Fantasy 14,771,33,63
Raya-O-Senna,Final Fantasy 14,770,29,51
Allagan Console,Final Fantasy 14,766,58,88
Celia,Final Fantasy 14,765,36,54
Mihleel,Final Fantasy 14,762,44,76
East Aldenard Trading Company Aide,Final Fantasy 14,757,39,71
Tista-Bie,Final Fantasy 14,755,50,82
Rhitahtyn sas Arvina,Final Fantasy 14,753,60,88
Hrodric Poisontongue,Final Fantasy 14,752,45,79
Disconcerted Hoobigo,Final Fantasy 14,752,50,76
Euphoric Youth,Final Fantasy 14,751,56,86
Endless Robor,Final Fantasy 14,751,63,87
Formerly Distressed Damsel,Final Fantasy 14,751,32,77
Endless Namikka,Final Fantasy 14,749,66,108
Overworked Porter,Final Fantasy 14,747,37,82
Shetona Onlooker,Final Fantasy 14,746,42,66
House Leveilleur Butler,Final Fantasy 14,742,42,65
Eynzahr,Final Fantasy 14,741,40,83
Ismene,Final Fantasy 14,741,36,61
Cahciua,Final Fantasy 14,741,45,77
Pawah Mujuuk the Ghost,Final Fantasy 14,737,30,56
Endless Constancy,Final Fantasy 14,735,46,77
Mourning Woman,Final Fantasy 14,734,48,75
Scions of the Seventh Dawn,Final Fantasy 14,732,40,77
Sahagin Priest,Final Fantasy 14,731,39,69
Meteion,Final Fantasy 14,731,48,68
Ysayle,Final Fantasy 14,728,29,60
Voidsent,Final Fantasy 14,728,48,70
Stark Woad,Final Fantasy 14,727,45,77
Mogta Mogsong,Final Fantasy 14,727,31,66
Crowd,Final Fantasy 14,721,38,63
Bluomwyda,Final Fantasy 14,720,24,43
Hopeless Lass,Final Fantasy 14,720,34,69
Liberation Front Guard,Final Fantasy 14,718,30,56
Inquisitor Guillaime,Final Fantasy 14,717,37,63
Storm Scout,Final Fantasy 14,717,73,90
Hahasako,Final Fantasy 14,714,25,57
Aulus mal Asina,Final Fantasy 14,714,43,71
Inquisitive Voidsent,Final Fantasy 14,712,56,80
Strapping Lad,Final Fantasy 14,711,37,71
Ryne,Final Fantasy 14,710,49,81
Refugee Leader,Final Fantasy 14,709,36,61
Roustebant,Final Fantasy 14,708,56,87
Doting Mother,Final Fantasy 14,706,37,70
Hades,Final Fantasy 14,706,89,109
Bakool Ja Ja the Mystic,Final Fantasy 14,705,51,77
Ktisis Scholar,Final Fantasy 14,704,41,59
Free Citizen,Final Fantasy 14,703,40,66
Watt,Final Fantasy 14,701,51,88
Baenryss of the Deep,Final Fantasy 14,697,44,68
Teeshal Ja,Final Fantasy 14,696,46,68
Eginolf,Final Fantasy 14,694,28,55
Uimet,Final Fantasy 14,692,52,73
